3	1600	1600
4	2100	2100
5	1700	1500
6	1700	2200
7	2900	2600
8	1900	2300
9	2300	2500
11	3400	2300
12	3200	3900
13	2900	3100
14	3200	4400
17	3600	2900
18	3500	3600
19	3800	3300
20	3700	4000
22	3500	4700
23	4800	3400
25	4600	4000
27	4500	4400
29	5500	1700
30	5400	1600
31	5500	1500
32	5700	1600
35	3200	1800
36	2100	1800
37	2400	1900
38	2500	2800
39	3100	2300
40	2600	2400
41	2300	2000
42	2600	1800
43	2500	1900
44	2500	1900
45	5300	2900
47	3000	2000
48	3200	2700
49	3100	2600
50	3300	2300
51	2800	2300
53	3500	2500
54	4100	2400
56	4500	2900
57	4000	2800
58	4300	3100
59	3900	2800
60	3300	2400
63	3900	2700
64	4200	4000
65	4000	2800
66	3400	2500
67	3700	2600
68	3600	3000
69	3600	2500
70	4200	2700
71	4100	2700
72	3800	3100
73	4100	3400
74	4000	3600
75	4200	2700
76	4500	3000
77	4000	3000
78	5500	2700
79	4400	2800
80	4100	2800
81	4300	2800
82	4000	3100
85	5100	4000
86	5000	3800
87	5200	4300
88	5000	3400
89	5000	3200
90	4600	3700
91	5300	4100
96	5800	3200
97	5600	2000
98	5200	2000
99	5300	1800
100	5500	2000
104	5000	2500
106	5200	3000
107	4700	2300
108	5100	2300
109	4800	2600
110	4800	2400
114	4400	2600
115	3800	2400
117	3000	2800
118	2700	2000
119	2400	1700
120	2400	1600
121	2400	1500
122	2800	1600
123	2500	1700
124	3100	1900
125	2500	1800
126	2700	1800
127	2800	1700
128	2700	1800
129	2400	1600
130	2900	1800
131	2700	1700
132	2900	1800
133	3000	1600
134	2800	1800
135	2800	1700
136	2700	1900
137	2800	1700
139	2600	1800
140	2800	1800
141	2900	1900
142	3300	2300
143	3100	2000
144	2900	2000
145	3200	2300
146	2900	1800
147	2900	1700
148	2900	1700
149	3000	1700
150	3300	1900
151	3100	1800
152	3000	1800
153	3200	1600
154	2900	1600
155	3100	1800
156	2900	1800
157	3100	1800
158	3200	1900
159	3000	1700
160	3400	1800
161	3000	1800
162	3500	1900
164	3200	1800
165	3300	1900
166	3200	1900
167	2900	1900
168	2900	1900
169	3700	1900
170	3400	1800
171	3500	1900
172	3200	1900
173	3500	1900
174	3500	2200
175	3500	1900
176	3300	2100
177	3500	2000
178	3500	2100
179	3100	2100
180	3700	2100
181	3200	1900
182	4300	2600
183	3700	2100
184	3700	2300
185	3800	2100
186	3600	2200
187	3700	2100
188	4000	2200
189	4000	2500
190	4300	2800
191	4200	2600
192	4200	2400
193	4200	2500
194	4200	2500
195	4000	2300
196	4300	2500
197	3900	2300
198	4500	2200
199	3900	2200
200	4200	2300
201	4100	2300
202	4000	2500
203	4000	2300
204	4100	2600
205	3900	2200
206	4100	2300
207	4100	2100
208	5100	2400
209	4000	2300
210	4200	2500
211	4000	2300
212	4300	2400
213	5700	3400
214	4100	2400
215	4200	2200
216	4600	2300
217	4200	2500
218	4100	2400
219	4200	2400
220	4100	2500
221	4600	2300
222	4300	2500
223	4500	2500
224	4500	2400
225	4400	2400
226	4400	2500
227	4300	2400
228	4700	2500
229	4400	2500
230	4400	2600
231	4600	2600
232	4500	2600
233	4400	2600
234	4500	2400
235	4600	2500
236	4800	2500
237	4700	2800
238	4600	2700
239	4500	2600
240	4500	2600
241	4400	2600
242	4700	2600
243	4600	2600
244	5700	2600
245	4700	2700
246	4900	2600
247	4900	2600
248	5700	3500
249	5200	3100
250	5100	3000
251	4600	2800
252	4700	2800
253	4900	2800
254	4800	2800
255	5000	2900
256	4900	2800
257	5000	2900
258	5000	2800
259	5200	2900
260	4900	3300
261	5100	2900
262	5300	2800
263	5400	2700
264	5600	2900
265	5100	3000
266	5200	3200
267	4900	2800
268	5000	3000
269	5300	3100
270	5700	2900
271	5500	3100
273	5200	2800
274	5600	3100
275	6500	3000
276	5100	3100
277	5400	3000
278	5700	3000
279	5200	3800
280	5300	3000
281	5200	3400
282	5600	3100
283	5500	3000
284	5400	3000
285	5700	3100
286	5600	3000
287	5600	2900
288	5400	3200
289	5700	3100
290	5500	3000
291	5600	3100
292	5900	3200
293	5800	3100
294	5700	3100
295	5400	3100
296	5900	3000
297	5700	3100
298	5800	3300
299	5800	3100
300	6000	3300
301	6200	3200
302	5700	3300
303	6000	3100
306	6000	3600
307	5800	3300
308	6000	3600
309	5800	3500
310	6000	3500
311	6100	3500
312	6100	3400
313	6200	3100
314	6200	3700
315	6500	3200
316	6100	3200
317	6700	3500
318	7000	3400
319	6200	3500
320	6000	3500
323	6800	3900
325	7500	4700
326	6800	4200
327	6900	4100
328	6600	3900
329	6600	3700
330	9100	3700
331	6200	3500
332	6500	3800
333	6400	4900
334	6600	3600
335	6500	5400
336	6800	3500
337	6400	3600
338	6900	3600
339	6600	3800
340	6800	3700
341	6800	3500
342	6400	3700
343	6600	3600
344	6900	3600
345	6700	3800
346	6600	3600
347	7100	4100
348	6800	4300
349	7300	4100
350	6900	4000
351	7200	4100
352	7000	4100
353	7100	4100
354	8600	3800
355	6900	4000
356	6900	4000
357	7000	3900
358	7100	3900
359	7100	4100
360	6800	4200
361	7500	4200
362	7000	4200
363	7300	4100
364	7200	4000
366	7100	4400
367	7100	4100
368	7000	4300
369	7200	4200
370	7300	4000
371	6900	4000
372	6500	4100
373	7300	4200
374	7000	4000
375	7200	4100
377	7200	4300
378	7700	4200
380	7200	4000
381	7500	4100
382	7000	3800
383	7500	4100
384	7200	3900
385	7100	4000
386	7300	4200
387	7500	4100
388	7600	4200
389	7500	4100
390	7600	4100
391	7500	4000
392	7100	4100
393	7400	4100
394	7500	4000
395	7700	4100
396	7300	4200
398	7900	4300
399	8000	4300
400	8600	3900
401	7700	4000
402	8100	4300
403	7500	4100
404	8200	4200
405	8200	4300
406	7800	4200
408	7900	4500
409	8300	4500
410	7800	4200
411	8000	4200
412	8200	4600
413	7900	4500
414	8500	4300
415	7800	4400
416	8000	4400
418	8800	5300
419	8200	5000
422	8200	4800
423	8500	4700
424	7900	4900
